customer_unique_id,Recency,Frequency,Monetary
0000366f3b9a7992bf8c76cfdf3221e2,160,1,141.9
0000b849f77a49e4a4ce2b2a4ca5be3f,163,1,27.19
0000f46a3911fa3c0805444483337064,586,1,86.22
0000f6ccb0745a6a4b88665a16c9f078,370,1,43.62
0004aac84e0df4da2b147fca70cf8255,337,1,196.89
0004bd2a26a76fe21f786e4fbd80607f,195,1,166.98
00050ab1314c0e55a6ca13cf7181fecf,180,1,35.38
00053a61a98854899e70ed204dd4bafe,231,1,419.18
0005e1862207bf6ccc02e4228effd9a0,592,1,150.12
0005ef4cd20d2893f0d9fbd94d3c0d97,219,1,129.76
0006fdc98a402fceb4eb0ee528f6a8d4,456,1,29
00082cbe03e478190aadbea78542e933,332,1,126.26
00090324bbad0e9342388303bb71ba0a,207,1,63.66
000949456b182f53c18b68d6babc79c1,177,1,82.05
000a5ad9c4601d2bbdd9ed765d5213b3,432,1,91.28
000bfa1d2f1a41876493be685390d6d3,383,1,46.85
000c8bdb58a29e7115cfc257230fb21b,309,1,29
000d460961d6dbfa3ec6c9f5805769e1,283,1,36.68
000de6019bb59f34c099a907c151d855,426,1,257.44
000e309254ab1fc5ba99dd469d36bdb4,114,1,78.42
000ec5bff359e1c0ad76a81a45cb598f,57,1,27.75
000ed48ceeb6f4bf8ad021a10a3c7b43,150,1,20.75
000fbf0473c10fc1ab6f8d2d286ce20c,83,1,362.38
0010a452c6d13139e50b57f19f52e04e,463,1,325.93
0010fb34b966d44409382af9e8fd5b77,226,1,61.8
001147e649a7b1afd577e873841632dd,412,1,212.16
00115fc7123b5310cf6d3a3aa932699e,634,1,76.11
0011805441c0d1b68b48002f1d005526,541,1,297.14
0011857aff0e5871ce5eb429f21cdaf5,476,1,192.83
0011c98589159d6149979563c504cb21,438,1,117.94
0012929d977a8d7280bb277c1e5f589d,365,1,155.65
0014a5a58da615f7b01a4f5e194bf5ea,272,1,99.82
0015752e079902b12cd00b9b7596276b,76,1,74.82
00172711b30d52eea8b313a7f2cced02,65,2,244.14
00191a9719ef48ebb5860b130347bf33,546,1,58.86
001926cef41060fae572e2e7b30bd2a4,426,1,91.21
001928b561575b2821c92254a2327d06,54,1,164.81
00196c4c9a3af7dd2ad10eade69c926f,81,1,37.58
00196fdb2bf9edfc35e88ebfbcf8d781,237,1,27
0019da6aa6bcb27cc32f1249bd12da05,248,1,87.71
0019e8c501c85848ac0966d45226fa1d,169,1,197.27
001a2bf0e46c684031af91fb2bce149d,475,1,36.73
001a34eb30ecb8e3aacb07c475ca4dd1,98,1,161.71
001a3a8e11d76c9a366c31a4aa2cc529,149,1,24.23
001ae44fa04911a9e9577356dce6c63c,345,1,116.23
001ae5a1788703d64536c30362503e49,313,1,135.08
001deb796b28a3a128d6113857569aa4,117,1,63.33
001f3c4211216384d5fe59b041ce1461,577,1,35.84
002043098f10ba39a4600b6c52fbfe3c,570,1,237.81
002311514717ca8b65b09a26cdf7b91a,112,1,124.32
0023557a94bef0038066b5d1b3dc763e,203,1,107.44
002471155ecd08d208d1376720e2a907,70,1,92.18
00256bf7b05c08f6a5849df3d0a64f1f,138,1,57.73
0025795df7a7d077c4c90162fa820085,85,1,214.08
0027324a96d26a2bc7d69262f83c8403,206,1,46.78
0028a7d8db7b0247652509358ad8d755,308,1,354.87
0028cfeb9dfcd3628a56d5b6400deef5,283,1,118.2
00293787e2aec37a9c253b63fdfe2049,355,1,257.87
0029bd580d3012618731f5abb174a07f,349,1,52.38
002aba8c1af80acacef6e011f9f23262,232,1,217.74
002ae492472e45ad6ebeb7a625409392,374,1,218.66
002b4cd83fabaffaa475f78ea5ef3e08,623,1,64.42
002bdeb33da5b1b3ce8b9c822f749c82,316,1,38.09
002cdf87d4c03f08f7eb4551a923affc,351,1,228.67
002d3bd901608f67c3fc11eaaa842b13,275,1,28.76
002d71b244beb91ca7030b15ab526446,513,1,130.56
002da6dde369f6a8b4c999ed61eb5a87,188,1,52.38
002eb8b96288f3804e21d2777ac29895,452,1,137.99
002ed12115742033f015cb3c269ccf68,260,1,109.79
002ef00822613c94613e60e03b169fef,245,1,114.04
002feefec5af0a3b26ee7839c66d205e,353,1,77.57
003035f5ec76f2220098377482de93c9,415,1,62.47
003162bf0351f47a1a247992b8b9b42d,95,1,536.6
00324c9f4d710e7bac5c5ba679714430,483,1,109.78
0032c76b20340da25249092a268ce66c,741,1,144.94
0032ca69771a7758ce643258bb9e4ac7,93,1,62.45
0033f4a2887e07e25aa1204d482f41ba,113,1,425.04
00344274804f3b8003de1b0562ae01df,100,1,226.23
0034c76b7e6a17d738375b99afc2f01e,163,1,44.23
0035029989e6fc5cf030918a5f9f2037,158,1,546.12
003650b504826ea534e02eba0ab58dd5,273,1,21.77
0036a074f98b80c4f1fc33dbbcf9c552,523,1,42.62
0036b4a3d09ad551a5188c2e374da402,434,1,162.77
0036d365b138cc0ee06bed755bcb5044,259,1,109.5
00370dfde3d012c420d29657afc2fc8b,261,1,237
00377a18050b898b93e2c774be9947db,326,1,65.78
0037aa56b017c105c3a9d47af71fff98,264,1,443.73
0037d2bbb9ebc39d9114aea27ee16d72,569,1,143.73
0037eb1ff742ee2e71ba887f65f3c6f3,461,1,228.79
003800162424b7b5b3d75c9cf22a66e7,199,1,107.81
00391594070baf8603f5fdc1d0c6a48c,73,1,119.32
003a5571a07dcf09bf117d13d2980ba3,84,1,181.82
003a7a8eb096ed3cbf713d2def1ca701,64,1,157.46
003ac9408252444b489b1bfc013f5f8c,215,1,36.98
003ae409f37c3c30cb1c974af3a42692,63,1,216.32
003c2067070f5b3d923235b1ea1cc17b,72,1,147.38
003c457932a554e4df13834237b1ed00,285,1,142.51
003d56767e53e08671de00da3fba8d40,320,1,178.59
003db7adfcdc49857b095a50191b6c9d,168,1,542.66
003e28cb6fab8a0901bff9229612375f,583,1,137.26
003e2af81ea3c72fbdd093f07724a4de,184,1,63.74
003f4901fdb60ae9c1e2538b84c208e1,332,1,162.79
003fb95e849e71e732629d94bb92762f,79,1,77.59
003fee4ca17927283128c7ddc6f9311b,162,1,103.47
004177f7bf62929186b32c7fdaa6157b,363,1,433.98
004256f082951ec189a4962b6788c214,208,1,259.15
004288347e5e88a27ded2bb23747066c,276,2,354.37
0042dcca0ae57aaec6e808edc31a2d48,319,1,85.04
0042dfa8925d6eb23e471ec350454f04,84,1,62.91
0043d65f8039b4a4d43bc7b0f450ac2c,545,1,64.42
00444f48f6c9b55657e49435ce3a97ca,495,1,52.38
00446a03d7a34d191507c9e42870d0a5,590,1,128.95
004493e0b0a37317d25665d340c0677d,133,1,83.32
0045e9ad4d6c85d2323a7ab374b76183,120,1,24.13
0046311f458d8041b00063cb99482903,442,1,112.33
0047f3e16441284d757a8963344f6c59,415,1,76.18
0048706e497cfba0b689e1e3497bc99e,63,1,82.65
0048a779a98a7848514096ff04046079,70,1,41.04
0049a16516d38fc2246696172a257f16,292,1,32.77
